#k_1,k_2,k_12,SigmaSquared_k1,SigmaSquared_k2,SigmaSquared_k12,Semillas,Error_MC,Datos
0.0009802611101227755,0.0005520620441817533,0.0038207405153746813,2.1429998608763914e-10,9.278155704931086e-10,7.365833652295113e-10,68276,Nada,Nada
0.0011208421215885929,0.0003954255581290033,0.0034424708785173674,2.1522661610506329e-10,9.040689830117152e-10,7.268875262496852e-10,174645,Nada,Nada
0.0010885222933105366,0.0004898569392599431,0.0036737326820196533,2.238591519457169e-10,9.447363810219264e-10,7.620410087503502e-10,637107,Nada,Nada
0.0010905809277488136,0.0004501116931958489,0.003530413037848565,2.3039495511723177e-10,9.755256476954532e-10,7.823058158487894e-10,761877,Nada,Nada
0.0012881795781135381,0.00039174117251542336,0.003343062802296675,3.3853466605683394e-10,1.375437838935069e-09,1.1270244335580175e-09,687490,Nada,Nada
0.0011301454868810927,0.00047526107094484916,0.003663823077229,2.475806292337013e-10,1.0389547829936703e-09,8.366795851800603e-10,511963,Nada,Nada
0.0011070906875476144,0.00047651035833407495,0.0036964664517337917,2.365988453545686e-10,9.966276986183685e-10,8.025577758401068e-10,653787,Nada,Nada
0.0011430838397578644,0.0004891955423518186,0.0036007827182860663,2.616102081214482e-10,1.0836203321295259e-09,8.940053218243454e-10,82661,Nada,Nada
0.0013254885077138524,0.00036639682974088294,0.0033248147694584203,3.3974940124561345e-10,1.3669820057770263e-09,1.1304881193574856e-09,608685,Nada,Nada
0.0012460136629989917,0.0004162538132752868,0.0034376520208728193,3.0482983413065004e-10,1.2483111165374462e-09,1.0186389822182415e-09,864521,Nada,Nada
0.0011430145774877453,0.0004765566328848926,0.0035380604266404695,2.50447615489128e-10,1.0476193758811748e-09,8.471375967252831e-10,663439,Nada,Nada
0.0010263471393623777,0.00046437358839093913,0.0036551556381027223,2.0339268602051948e-10,8.700925097916657e-10,6.943741641609684e-10,599204,Nada,Nada
0.0010909515951175973,0.00048668065040107926,0.0036210892011875415,2.4192418680740304e-10,1.0203052805240214e-09,8.249207050103048e-10,723231,Nada,Nada
0.0012321138629859812,0.00046029774776309615,0.00357860713830306,3.059837816379852e-10,1.269672645169364e-09,1.0167568551203927e-09,495982,Nada,Nada
0.0010201572271882346,0.0004914520554866849,0.0037216391938343827,2.2250069632250758e-10,9.461540439918368e-10,7.662773849042393e-10,131145,Nada,Nada
0.0012443959296988068,0.000435907287058798,0.0034794514884742447,2.8754635843161874e-10,1.1795473345062596e-09,9.59815949305494e-10,551902,Nada,Nada
0.0013619585251145986,0.0003352639887493502,0.0032827642895016797,3.5918790676912695e-10,1.4334943344736833e-09,1.1849848494983518e-09,203573,Nada,Nada
0.0013231729405415278,0.0004118539954620992,0.0033807452808701506,3.616940015673571e-10,1.469272358234471e-09,1.1932588865882006e-09,979218,Nada,Nada
0.0012332025933474453,0.0004434266295054608,0.0035819871486943962,2.9462555686364696e-10,1.2011319110487432e-09,9.925555346887733e-10,608554,Nada,Nada
0.000979729296881532,0.00043674524430340074,0.00362194165158713,1.9992064528955175e-10,8.54996551419163e-10,6.910083030970264e-10,142460,Nada,Nada
0.0009702896923335525,0.0005335445119550109,0.0037034200014384806,2.006788393345763e-10,8.670752982009933e-10,6.921675784856218e-10,416938,Nada,Nada
0.0011298837979906852,0.0005182863648508156,0.003797650866309452,2.863831226902017e-10,1.1960509381933493e-09,9.730563144251163e-10,481437,Nada,Nada
0.0008894410216857897,0.000542777861610847,0.003797424298750509,1.9409133533711958e-10,8.504848451019543e-10,6.748201582678764e-10,618213,Nada,Nada
0.0010039702435144689,0.0004560902632082259,0.0035755983561074956,2.0538500418862436e-10,8.741183849904498e-10,7.082150507996626e-10,856203,Nada,Nada
0.0012236895862499334,0.0004089703627565429,0.003499485473018397,2.6478354224903723e-10,1.091960183977535e-09,8.853430932256188e-10,946116,Nada,Nada
