#k_1,k_2,k_12,SigmaSquared_k1,SigmaSquared_k2,SigmaSquared_k12,Semillas,Error_MC,Datos
0.0008893299984118717,0.00048297512890749825,0.0037567129817957052,1.698537482767543e-10,8.037774334114582e-10,5.540298799726392e-10,687883,Nada,Nada
0.0012006406259329524,0.00035349304423660236,0.003454195123541903,2.3190119042202633e-10,1.0344835516792863e-09,7.18359249140009e-10,924695,Nada,Nada
0.0010720073539940626,0.0004666988916855385,0.0036422819277326358,1.8723954385788043e-10,8.674290458239554e-10,5.909332353133663e-10,508216,Nada,Nada
0.001026167910498037,0.0004565880833900325,0.003563236085123972,1.806641029980632e-10,8.38187763808324e-10,5.755378152778192e-10,837516,Nada,Nada
0.0010805968294822815,0.0004236359272524458,0.003527540179001375,1.7408621210627087e-10,8.03971001411096e-10,5.47910214496914e-10,947541,Nada,Nada
0.0010148302590202872,0.0004869040256966599,0.0036759395813434864,1.6950637130604891e-10,7.935013817051382e-10,5.390851404459314e-10,183115,Nada,Nada
0.0009706830964926663,0.0004039546702103405,0.0035290531107405845,1.8116551449509946e-10,8.444279060755855e-10,5.808898144399284e-10,235001,Nada,Nada
0.001102087138381205,0.0004467704825132074,0.003630638460709459,1.9666596191797733e-10,8.98200611614759e-10,6.223057293605833e-10,122584,Nada,Nada
0.0011365037623213658,0.0004189277781310018,0.0035252124540936006,2.0675079111626815e-10,9.346233203778167e-10,6.503132833350849e-10,542316,Nada,Nada
0.0009673364026233401,0.000515844399031933,0.0038391429657434494,1.7728251055926381e-10,8.251868118457358e-10,5.753418233342757e-10,983144,Nada,Nada
0.001101030271634407,0.0004241957303634505,0.003499025317508397,1.8749299861054625e-10,8.601811101706152e-10,5.891106825470253e-10,604023,Nada,Nada
0.0010116358235477737,0.0004404974703116172,0.0035776953847912827,1.7233117440763996e-10,7.954699659233259e-10,5.532981779795416e-10,205177,Nada,Nada
0.0010703269185569088,0.00041922264269026973,0.003461797766987384,1.9686690715117345e-10,9.03373848974125e-10,6.227888444056538e-10,690767,Nada,Nada
0.0011666733739070891,0.00040786701821286624,0.003555565744716893,2.1372531106060192e-10,9.568327172659543e-10,6.71063198126958e-10,118075,Nada,Nada
0.0010639824270373304,0.0004552268660439824,0.0035521969657064814,1.755510605115105e-10,8.086681559880136e-10,5.571915783587415e-10,759217,Nada,Nada
0.0009942679187700328,0.00047960749221400594,0.003699974363525167,1.603937928512988e-10,7.522383276867186e-10,5.128156049102819e-10,645726,Nada,Nada
0.0010990030644789613,0.000510444976004508,0.0037603925559741313,2.2759931301966907e-10,1.0365875683439802e-09,7.245667805830245e-10,162523,Nada,Nada
0.0011705849841521009,0.0003985305395561565,0.00351755769793748,2.125770706317634e-10,9.555459774008177e-10,6.645164365053946e-10,679124,Nada,Nada
0.0011805215823735683,0.0003682279615076951,0.0034260585843875766,2.031623512664057e-10,9.099965321185924e-10,6.338974433378655e-10,896097,Nada,Nada
0.0012665664694712952,0.0003233749345574424,0.0032814240897901916,2.535380145942043e-10,1.129144165258483e-09,7.745332736631505e-10,476787,Nada,Nada
0.0009658953793929803,0.00047737161231787694,0.0036463686918507734,1.7941074092629375e-10,8.395001496733639e-10,5.772012581218294e-10,689434,Nada,Nada
0.0010804148074726038,0.0004677147914575399,0.003604193553281973,2.0114380713320759e-10,9.269831607327564e-10,6.34267418995018e-10,273740,Nada,Nada
0.0010970680641056226,0.0004939733734994759,0.003661158715858512,1.9116961499755502e-10,8.698517023793162e-10,6.079820322157376e-10,163680,Nada,Nada
0.0012550767556293696,0.0003242263605756593,0.0033345971031382062,2.329235924604489e-10,1.0339627581249945e-09,7.165889758496947e-10,766034,Nada,Nada
0.0011652552517068314,0.0004017841411862109,0.0035667211501378025,2.0131920908072498e-10,9.110584863059342e-10,6.274569388011856e-10,432143,Nada,Nada
0.0010432531942560692,0.0005139095523691796,0.003775860632480708,1.8372918522656966e-10,8.4426841167623e-10,5.895823102646952e-10,640193,Nada,Nada
0.0009762112690442575,0.0004675962453705885,0.0036638874655668704,1.6229507265016466e-10,7.55134369931537e-10,5.227407866534577e-10,336026,Nada,Nada
0.0010472719623980725,0.0004357599795743785,0.003636534359999731,1.7098885587324262e-10,7.855495967276175e-10,5.440783277647581e-10,299413,Nada,Nada
0.0011685393300808807,0.000339300536542444,0.003320309975398451,1.9701917151340973e-10,8.894117374617686e-10,6.127577027314157e-10,960644,Nada,Nada
0.001027713827055827,0.00044202326999620757,0.003543358342402547,1.8006863357703694e-10,8.358744880779816e-10,5.727126728939858e-10,754049,Nada,Nada
0.0010111204669741745,0.0004900473570133477,0.003725132629783002,1.7897449448414232e-10,8.304727172149254e-10,5.734831469418342e-10,582411,Nada,Nada
0.000949595421982075,0.0004598226535556364,0.0036985139365663905,1.7225506442777785e-10,8.036945258845488e-10,5.566956857224466e-10,834451,Nada,Nada
0.0012306836037605322,0.00039600882827043254,0.003432321358248876,2.3267775529314797e-10,1.0291784608522003e-09,7.239414324694563e-10,366616,Nada,Nada
0.0009760219010299679,0.0004780229980752176,0.0036885809553808013,1.66645076593937e-10,7.733008682809266e-10,5.393176280663561e-10,637918,Nada,Nada
0.0010511333533259534,0.0004391202778807323,0.003580682637695758,1.7963889156011287e-10,8.228250601293201e-10,5.732152782558566e-10,991715,Nada,Nada
0.0011353851265715194,0.00041714477877378476,0.0035266057404763945,2.0915292892295177e-10,9.496996803017565e-10,6.550229274578869e-10,597655,Nada,Nada
